Business Name,Category,Address/Area,Phone,Web Presence,Active Status (verified Jul 2026),Priority,Evidence URL,Notes
Dominion Exterminators,Pest control,"2116 Bay St, Sarasota, FL 34237",(941) 266-6659,DEAD DOMAIN,ACTIVE,Hot,https://www.yelp.com/biz/dominion-exterminators-sarasota,dominionexterminators.com does not resolve (confirmed by direct fetch); Yelp current Jun 2026; phone updated from (941) 377-0957
Walt's Marine Service,Marine/boat repair,"2073 20th St, Sarasota, FL 34234",(941) 955-6785,DEAD DOMAIN,LIKELY ACTIVE,Hot,https://www.yelp.com/biz/walts-marine-service-sarasota-2,waltsmarineservice.com does not resolve (confirmed twice); still indexed in Google/Yelp/BBB; 35+ yrs in business; Yelp Dec 2024
Jamaican American Soul Food,Restaurant (Jamaican/soul),"2025 Dr MLK Jr Way, Sarasota, FL 34234",(941) 260-5723,DEAD DOMAIN,LIKELY ACTIVE,Hot,https://www.yelp.com/biz/jamaican-american-soul-food-sarasota,Dead domain; Yelp Jan 2026 + hours listed Jul 2026; one minor directory shows Closed — call before outreach
"SRQ Marine Services, LLC",Marine restoration & repair,"510 Mango Ave, Sarasota, FL 34237",(941) 685-9434,OUTDATED SITE,LIKELY ACTIVE,Hot,https://www.yelp.com/biz/srq-marine-services-sarasota,srqmarine.com is a legacy HTTP static site-builder site (server responds but 2000s-era); Yelp Aug 2024
Messenger's Barber Shop & Beauty Salon,Barbershop/salon,"3251 17th St #70, Sarasota, FL 34235",(941) 366-3677,NO WEBSITE,ACTIVE,High,https://www.fresha.com/lvp/messengers-barber-shop-beauty-salon-17th-street-sarasota-7xRJ4D,3rd-generation family business since 1964; live Fresha booking; Yelp Dec 2025; 4.8 stars Birdeye
JB SRQ Handyman Services Inc,Handyman,"2737 Hyde Park St, Sarasota, FL 34239",(941) 228-7763,NO WEBSITE,LIKELY ACTIVE,High,https://www.yelp.com/biz/jb-srq-handyman-sarasota,38 yrs in business; Yelp Jun 2025; Nextdoor Favorite 2022 & 2023; BBB live
Economy Lock & Key Inc,Locksmith,"5317 Fruitville Rd, Sarasota, FL 34232",(941) 377-8237,NO WEBSITE,UNCLEAR,High,https://www.yelp.com/biz/economy-lock-and-key-sarasota,Since 1987; BBB accredited; only stale directory listings found — call to confirm still operating
Rose and Dagger Tattoo Studio,Tattoo,"5111 Ocean Blvd Ste H, Siesta Key, FL 34242",(941) 893-9917,NO WEBSITE,ACTIVE,High,https://www.yelp.com/biz/rose-and-dagger-tattoo-studio-sarasota,Only tattoo shop on Siesta Key; Yelp Jul 2026; active Instagram
Baja Boys Grill (Taco Truck),Food truck,"Rosemary District, Sarasota, FL",via Yelp,NO WEBSITE,ACTIVE,High,https://www.yelp.com/biz/baja-boys-taco-truck-sarasota,"Voted Best Food Truck in SRQ; in Yelp best-of list Jul 2026; bajaboyztacos.com is unrelated"
SRQ Handyman Services LLC,Handyman,"Sarasota, FL",via Facebook,FREE-BUILDER PAGE,UNCLEAR,High,https://srqhandymanservicesllc.godaddysites.com/,SRQ Magazine 2025 award winner on free godaddysites.com subdomain; no dated recent activity found
